Barangay_key,DOnset,0
tibungco,2019-02-28,6
dumoy,2019-07-05,6
talomo,2019-01-13,6
buhangin,2023-08-27,6
barangay 19 b,2019-02-15,6
calinan,2024-12-10,5
matina crossing,2019-06-08,5
matina crossing,2019-07-14,5
alfonso angliongto sr,2019-02-16,5
alfonso angliongto sr,2019-02-17,5
sasa,2024-08-16,5
catalunan grande,2019-02-21,5
talomo,2018-07-28,5
tibungco,2024-11-30,5
talomo,2023-07-15,5
matina crossing,2023-11-04,5
catalunan grande,2023-06-15,5
talomo,2017-06-20,5
sasa,2019-10-10,5
sasa,2024-08-31,5
tacunan,2023-08-20,5
bucana,2019-07-13,5
talomo,2024-08-02,5
talomo,2019-02-01,5
ma a,2019-08-14,5
buhangin,2019-01-10,5
tigatto,2019-06-29,5
tigatto,2019-06-30,5
bucana,2019-07-16,5
daliao,2019-07-06,5
talomo,2024-08-08,5
tigatto,2019-07-05,5
ma a,2019-08-07,5
talomo,2019-07-15,5
matina crossing,2019-07-25,5
daliao,2019-07-05,5
bucana,2024-08-29,5
daliao,2019-07-21,5
buhangin,2019-08-19,5
buhangin,2023-06-28,5
barangay 19 b,2019-07-05,5
dacudao,2024-01-21,5
talomo,2019-02-17,5
sasa,2019-08-02,5
buhangin,2023-06-20,5
barangay 19 b,2019-03-04,5
tibungco,2023-08-27,5
bago gallera,2023-08-13,5
